Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740105W;Ecole primaire publique Jeanne Nativel;Ecole;Public;Ruelle de la Citerne Lambert;;97427 L ETANG SALE;97427;97404;L'Etang-Salé;974;28;04;1;1;;;;0262264840;;;ce.9740105W@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974004000072;;;-21.257548942882714, 55.37497003451602;SANS OBJET;La Réunion;La Réunion;La Réunion;331387.2;7648481.2;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.257548942882714;55.37497003451602;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741387P;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740112D;Ecole primaire publique Fleur de Canne;Ecole;Public;4 allée Fleur de Canne;;97429 PETITE ILE;97429;97405;Petite-Ile;974;28;04;1;1;;;;0262568307;;;ce.9740112D@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974005700159;;;-21.368836239808836, 55.57540251666551;SANS OBJET;La Réunion;La Réunion;La Réunion;352298.8;7636362.2;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.368836239808836;55.57540251666551;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740133B;Ecole élémentaire publique Saint Bernard 15ème km;Ecole;Public;69 rue du Père Raimbault;Saint-Bernard;97417 ST DENIS;97417;97411;Saint-Denis;974;28;04;0;1;;;;0262236113;;;ce.9740133B@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974011500221;;;-20.909900999238655, 55.399864591110486;SANS OBJET;La Réunion;La Réunion;La Réunion;333584.0;7686994.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.909900999238655;55.399864591110486;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740134C;Ecole élémentaire publique Joinville;Ecole;Public;132 rue Jules Auber;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262210645;;;ce.9740134C@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974011500130;;;-20.88381817443917, 55.45469499712639;SANS OBJET;La Réunion;La Réunion;La Réunion;339259.7;7689937.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.88381817443917;55.45469499712639;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740081V;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740139H;Ecole primaire publique Thérésien Cadet;Ecole;Public;81 chemin la Brune Ravine Sèche;;97425 LES AVIRONS;97425;97401;Les Avirons;974;28;04;1;1;;;;0262381083;;;ce.9740139H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974001600056;;;-21.24280477292729, 55.35030595799813;SANS OBJET;La Réunion;La Réunion;La Réunion;328810.5;7650087.0;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.24280477292729;55.35030595799813;Rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741387P;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740153Y;Ecole élémentaire publique Félicienne Jean;Ecole;Public;74 rue du Père Buschère;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;0;1;;;;0262460050;;;ce.9740153Y@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974009900078;;;-20.96096724517608, 55.64881003492674;SANS OBJET;La Réunion;La Réunion;La Réunion;359526.2;7681579.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-André;-20.96096724517608;55.64881003492674;Numéro de rue;1968-09-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741324W;;;9740010T;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740162H;Ecole primaire publique Emilie Moreau;Ecole;Public;37 chemin Beauvallon;;97470 ST BENOIT;97470;97410;Saint-Benoît;974;28;04;1;1;;;;0262501349;;;ce.9740162H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974010700236;;;-21.010844215684624, 55.69223761935687;SANS OBJET;La Réunion;La Réunion;La Réunion;364086.8;7676096.0;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.010844215684624;55.69223761935687;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740083X;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740178A;Ecole élémentaire publique Raymond Mondon A;Ecole;Public;17 rue Léon de Lépervanche;;97420 LE PORT;97420;97407;Le Port;974;28;04;0;1;;;;0262420014;;;ce.9740178A@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974007300164;;;-20.936654140688525, 55.29167907641836;SANS OBJET;La Réunion;La Réunion;La Réunion;322361.7;7683916.5;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.936654140688525;55.29167907641836;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740187K;Ecole primaire publique Paul Langevin;Ecole;Public;4 rue Jacques Duclos;DOS D'ANE;97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;1;;;;0262320020;;;ce.9740187K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974008100035;;;-20.978991370355878, 55.37723995654401;SANS OBJET;La Réunion;La Réunion;La Réunion;331308.0;7679322.0;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-20.978991370355878;55.37723995654401;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740190N;Ecole primaire publique Frédéric Joliot Curie;Ecole;Public;245 chemin dép 41 Ravine à Malheur;;97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;1;;;;0262229891;;;ce.9740190N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974008100068;;;-20.93104614742051, 55.360044925981654;SANS OBJET;La Réunion;La Réunion;La Réunion;329465.8;7684611.6;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-20.93104614742051;55.360044925981654;Rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740218U;Ecole élémentaire publique Lenepveu;Ecole;Public;1 boulevard De Lenepveu;;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;0;1;;;;0262565324;;;ce.9740218U@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974012300092;;;-21.38549007544596, 55.60912256619941;SANS OBJET;La Réunion;La Réunion;La Réunion;355811.7;7634549.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.38549007544596;55.60912256619941;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740229F;Ecole primaire publique Parc à  Moutons;Ecole;Public;110 chemin Terrain Galet;;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;1;1;;;;0262372658;;;ce.9740229F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974012300050;;;-21.35743033950334, 55.65721732265704;SANS OBJET;La Réunion;La Réunion;La Réunion;360771.7;7637699.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.35743033950334;55.65721732265704;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740468R;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740237P;Ecole élémentaire publique Philippe Vinson;Ecole;Public;34 route des Palmiers;La Montagne;97417 ST DENIS;97417;97411;Saint-Denis;974;28;04;0;1;;;;0262236307;;;ce.9740237P@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500247;;;-20.889340010866572, 55.425076084419416;SANS OBJET;La Réunion;La Réunion;La Réunion;336184.2;7689296.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.889340010866572;55.425076084419416;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740245Y;Ecole élémentaire publique les Camélias;Ecole;Public;5 rue Nicole de la Serve;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262211820;;;ce.9740245Y@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974011500767;;;-20.88982633354942, 55.454207681333614;SANS OBJET;La Réunion;La Réunion;La Réunion;339215.4;7689272.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.88982633354942;55.454207681333614;Rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740081V;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740253G;Ecole primaire publique Jean Petit;Ecole;Public;49 rue Amélie Lebon;JEAN-PETIT;97480 ST JOSEPH;97480;97412;Saint-Joseph;974;28;04;1;1;;;;0262565185;;;ce.9740253G@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974012300183;;;-21.340350568496937, 55.628998409378305;SANS OBJET;La Réunion;La Réunion;La Réunion;357828.9;7639565.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Joseph;-21.340350568496937;55.628998409378305;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9740452Y;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740261R;Ecole élémentaire publique St Leu Centre;Ecole;Public;17 rue de la Compagnie des Indes;;97436 ST LEU;97436;97413;Saint-Leu;974;28;04;0;1;;;;0262348120;;;ce.9740261R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974013100145;;;-21.168438319625132, 55.28682935901885;SANS OBJET;La Réunion;La Réunion;La Réunion;322133.0;7658250.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.168438319625132;55.28682935901885;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740546A;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740281M;Ecole primaire publique Auguste Lacaussade;Ecole;Public;60 bis route Ligne Montegu;LE TAPAGE;97421 ST LOUIS;97421;97414;Saint-Louis;974;28;04;1;1;;;;0262390217;;;ce.9740281M@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974014900063;;;-21.239008199867122, 55.445374250442576;SANS OBJET;La Réunion;La Réunion;La Réunion;338673.5;7650607.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.239008199867122;55.445374250442576;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740011U;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740287U;Ecole primaire Alphonse Daudet;Ecole;Public;14 bis route Nationale 5 Petit Serré;;97421 ST LOUIS;97421;97414;Saint-Louis;974;28;04;1;1;;;;0262392038;;;ce.9740287U@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974014900170;;;-21.213724060898606, 55.454814765290706;SANS OBJET;La Réunion;La Réunion;La Réunion;339626.0;7653416.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.213724060898606;55.454814765290706;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740011U;;;9740857N;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740305N;Ecole élémentaire publique Roche Plate;Ecole;Public;Quartier;CIRQUE DE MAFATE;97411 ST PAUL;97411;97415;Saint-Paul;974;28;04;0;1;;;;0693204184;;;ce.9740305N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600506;;;-21.094805619032382, 55.26587999435326;SANS OBJET;La Réunion;La Réunion;La Réunion;319868.5;7666378.6;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-21.094805619032382;55.26587999435326;Rue;1996-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740084Y;;;9741083J;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740308S;Ecole élémentaire publique Aliette Hortense;Ecole;Public;24 rue Cazanove;;97422 ST PAUL;97422;97415;Saint-Paul;974;28;04;0;1;;;;0262335139;;;ce.9740308S@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974015600068;;;-21.08588065686541, 55.271102712097594;SANS OBJET;La Réunion;La Réunion;La Réunion;320400.4;7667372.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 2;-21.08588065686541;55.271102712097594;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740035V;;;9740087B;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740311V;Ecole élémentaire publique Jean Albany;Ecole;Public;37 rue du Relais;;97422 ST PAUL;97422;97415;Saint-Paul;974;28;04;0;1;;;;0262335130;;;ce.9740311V@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974015600134;;;-21.08548542794921, 55.268219066497934;SANS OBJET;La Réunion;La Réunion;La Réunion;320100.3;7667413.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 2;-21.08548542794921;55.268219066497934;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740035V;;;9740087B;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740312W;Ecole primaire publique Paul Julius Benard;Ecole;Public;139 route Hubert Delisle;TAN ROUGE;97435 ST PAUL;97435;97415;Saint-Paul;974;28;04;1;1;;;;0262327092;;;ce.9740312W@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974015600555;;;-21.069004217492175, 55.30920175680752;SANS OBJET;La Réunion;La Réunion;La Réunion;324339.2;7669283.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-21.069004217492175;55.30920175680752;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740932V;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740319D;Ecole primaire publique Emile Hugot;Ecole;Public;21 rue Courbe;;97460 ST PAUL;97460;97415;Saint-Paul;974;28;04;1;1;;;;0262225615;;;ce.9740319D@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974015600563;;;-20.985512415473536, 55.29443255984208;SANS OBJET;La Réunion;La Réunion;La Réunion;322705.7;7678510.5;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-20.985512415473536;55.29443255984208;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740093H;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740324J;Ecole élémentaire publique ermitage les Bains;Ecole;Public;1 rue des Maldives;;97434 ST PAUL;97434;97415;Saint-Paul;974;28;04;0;1;;;;0262338273;;;ce.9740324J@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974015600340;;;-21.07513115871993, 55.2260363426553;SANS OBJET;La Réunion;La Réunion;La Réunion;315704.5;7668511.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-21.07513115871993;55.2260363426553;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740932V;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740325K;Ecole élémentaire publique Saline les Bains;Ecole;Public;24 route nationale trou d'eau;LA SALINE LES BAINS;97434 ST PAUL;97434;97415;Saint-Paul;974;28;04;0;1;;;;0262246150;;;ce.9740325K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600464;;;-21.095080442198103, 55.23734330633909;SANS OBJET;La Réunion;La Réunion;La Réunion;316903.9;7666315.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-21.095080442198103;55.23734330633909;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740932V;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740328N;Ecole élémentaire publique Raymond Mondon;Ecole;Public;106 avenue du Général de Gaulle;GRAND BOIS / BP 470;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;0;1;;;;0262310061;;;ce.9740328N@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974016400138;;;-21.35605722204305, 55.51710559593701;SANS OBJET;La Réunion;La Réunion;La Réunion;346240.3;7637721.0;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.35605722204305;55.51710559593701;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740811N;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740333U;Ecole primaire publique Charles Cros;Ecole;Public;3 route Hubert Delisle;MONT VERT LES HAUTS;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;1;;;;0692977260;;;ce.9740333U@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974016400112;;;-21.313260884174312, 55.54174533096694;SANS OBJET;La Réunion;La Réunion;La Réunion;348751.7;7642482.6;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.313260884174312;55.54174533096694;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740811N;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740359X;Ecole élémentaire publique Martin Luther King;Ecole;Public;139 avenue Luc Donat;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;0;1;;;;0262250644;;;ce.9740359X@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974016400070;;;-21.337073377997452, 55.45907752382441;SANS OBJET;La Réunion;La Réunion;La Réunion;340201.8;7639764.8;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.337073377997452;55.45907752382441;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740576H;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740363B;Ecole élémentaire  publique Jean-Paul Sartre;Ecole;Public;2 rue Pasteur;La Ravine des Cabris;97432 ST PIERRE;97432;97416;Saint-Pierre;974;28;04;0;1;;;;0262495012;;;ce.9740363B@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974016400534;;;-21.284812035278165, 55.47089891424587;SANS OBJET;La Réunion;La Réunion;La Réunion;341371.8;7645562.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.284812035278165;55.47089891424587;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740027L;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740388D;Ecole primaire publique Piton Hyacinthe;Ecole;Public;59 chemin des Acacias;;97418 LE TAMPON;97418;97422;Le Tampon;974;28;04;1;1;;;;0262275197;;;ce.9740388D@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974022200050;;;-21.222517167883694, 55.531134075416524;SANS OBJET;La Réunion;La Réunion;La Réunion;347557.5;7652518.0;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.222517167883694;55.531134075416524;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740395L;Ecole primaire publique  Ernest Velia;Ecole;Public;95 rue Pierre Rivals;;97418 LE TAMPON;97418;97422;Le Tampon;974;28;04;1;1;;;;0262275061;;;ce.9740395L@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974022200290;;;-21.239612675670198, 55.53905919666488;SANS OBJET;La Réunion;La Réunion;La Réunion;348397.6;7650633.1;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.239612675670198;55.53905919666488;Numéro de rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740398P;Ecole élémentaire publique Luc Avril;Ecole;Public;4 rue des Poinsettias;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;0;1;;;;0262422440;;;ce.9740398P@ac-reunion.fr;1;0;1;;;;;;;;;;;;;;;21974022200670;;;-21.25080565252838, 55.521436735100636;SANS OBJET;La Réunion;La Réunion;La Réunion;346580.2;7649377.0;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.25080565252838;55.521436735100636;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740410C;Ecole élémentaire publique Bras Creux;Ecole;Public;4 impasse des Oeillets;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;0;1;;;;0262278679;;;ce.9740410C@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200134;;;-21.254349102873743, 55.53693658784935;SANS OBJET;La Réunion;La Réunion;La Réunion;348192.4;7648999.7;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.254349102873743;55.53693658784935;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741581A;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
